canonical_key,display_name,state_at_creation,established_year,closed_year,is_active,origin_kind,census_years_present,first_census_year,last_census_year,max_area_km2,min_area_km2,area_change_km2,area_km2_1951,area_km2_1961,area_km2_1971,area_km2_1981,area_km2_1991,area_km2_2001,area_km2_2011,area_km2_2021,area_km2_2025
IND-001151,Kamle,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,1378.955,1305.667,73.289,,,,,,,,1305.667,1378.955
IND-001142,Kra Daadi,Arunachal Pradesh,2021,2025.0,False,NEW,1,2021,2021,2201.674,2201.674,0.0,,,,,,,,2201.674,
IND-001364,Kra Daadi,Arunachal Pradesh,2025,,True,NEW,1,2025,2025,1760.26,1760.26,0.0,,,,,,,,,1760.26
IND-001036,Kurung Kumey,Arunachal Pradesh,2011,2021.0,False,NEW,1,2011,2011,7082.75,7082.75,0.0,,,,,,,7082.75,,
IND-001139,Kurung Kumey,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,4444.152,4300.84,143.312,,,,,,,,4300.84,4444.152
IND-001150,Lepa Rada,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,836.812,766.659,70.153,,,,,,,,836.812,766.659
IND-000494,Lohit,Arunachal Pradesh,1981,2011.0,False,NEW,3,1981,2001,10306.056,10306.055,0.001,,,,10306.056,10306.055,10306.055,,,
IND-001039,Lohit,Arunachal Pradesh,2011,2021.0,False,NEW,1,2011,2011,4146.673,4146.673,0.0,,,,,,,4146.673,,
IND-001138,Lohit,Arunachal Pradesh,2021,2025.0,False,NEW,1,2021,2021,2474.141,2474.141,0.0,,,,,,,,2474.141,
IND-001355,Lohit,Arunachal Pradesh,2025,,True,NEW,1,2025,2025,3054.542,3054.542,0.0,,,,,,,,,3054.542
IND-001144,Longding,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,936.957,936.079,0.878,,,,,,,,936.957,936.079
IND-001038,Lower Dibang Valley,Arunachal Pradesh,2011,,True,NEW,3,2011,2025,3680.743,3540.761,139.982,,,,,,,3680.743,3567.815,3540.761
IND-001145,Lower Siang,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,1813.528,1750.425,63.103,,,,,,,,1750.425,1813.528
IND-000777,Lower Subansiri,Arunachal Pradesh,2001,2011.0,False,NEW,1,2001,2001,9423.179,9423.179,0.0,,,,,,9423.179,,,
IND-001035,Lower Subansiri,Arunachal Pradesh,2011,2021.0,False,NEW,1,2011,2011,2711.552,2711.552,0.0,,,,,,,2711.552,,
IND-001140,Lower Subansiri,Arunachal Pradesh,2021,2025.0,False,NEW,1,2021,2021,1457.889,1457.889,0.0,,,,,,,,1457.889,
