canonical_key,display_name,state,census_year,area_km2,fill_method,fill_source_ck,fill_confidence
IND-000404,Guntur,Andhra Pradesh,2011,11333.535863048772,DIRECT,IND-000404,1.0
IND-000404,Guntur,Andhra Pradesh,2021,11402.459009930231,DIRECT,IND-000404,1.0
IND-000404,Guntur,Andhra Pradesh,2025,11403.93547371574,DIRECT,IND-000404,1.0
IND-000412,Kurnool,Andhra Pradesh,1951,17666.835035,LINEAGE_BACKFILL,IND-000323,0.49
IND-000412,Kurnool,Andhra Pradesh,1961,17667.022782,LINEAGE_BACKFILL,IND-000323,0.7
IND-000412,Kurnool,Andhra Pradesh,1971,17667.11055084731,DIRECT,IND-000412,1.0
IND-000412,Kurnool,Andhra Pradesh,1981,17667.110804061067,DIRECT,IND-000412,1.0
IND-000412,Kurnool,Andhra Pradesh,1991,17667.07247598929,DIRECT,IND-000412,1.0
IND-000412,Kurnool,Andhra Pradesh,2001,17667.07247598929,DIRECT,IND-000412,1.0
IND-000412,Kurnool,Andhra Pradesh,2011,17532.97949249114,DIRECT,IND-000412,1.0
IND-000412,Kurnool,Andhra Pradesh,2021,17664.474624094702,DIRECT,IND-000412,1.0
IND-000412,Kurnool,Andhra Pradesh,2025,17387.796736726665,DIRECT,IND-000412,1.0
IND-000406,Nellore,Andhra Pradesh,1951,13097.436788,LINEAGE_BACKFILL,IND-000215,0.95
IND-000406,Nellore,Andhra Pradesh,1961,13214.147769,LINEAGE_BACKFILL,IND-000215,0.95
IND-000406,Nellore,Andhra Pradesh,1971,13214.150704155258,DIRECT,IND-000406,1.0
IND-000406,Nellore,Andhra Pradesh,1981,13214.150658469976,DIRECT,IND-000406,1.0
IND-000406,Nellore,Andhra Pradesh,1991,13214.146752378483,DIRECT,IND-000406,1.0
IND-000406,Nellore,Andhra Pradesh,2001,13214.146752378483,DIRECT,IND-000406,1.0
IND-000406,Nellore,Andhra Pradesh,2011,13190.770705678888,DIRECT,IND-000406,1.0
IND-000406,Nellore,Andhra Pradesh,2021,13219.961675648075,DIRECT,IND-000406,1.0
IND-000406,Nellore,Andhra Pradesh,2025,13214.466389151048,DIRECT,IND-000406,1.0
IND-000405,Ongole (Prakasam),Andhra Pradesh,1951,17548.154254,LINEAGE_BACKFILL,IND-000209|IND-000215|IND-000323,0.49
IND-000405,Ongole (Prakasam),Andhra Pradesh,1961,17632.003598,LINEAGE_BACKFILL,IND-000209|IND-000215|IND-000323,0.7
IND-000405,Ongole (Prakasam),Andhra Pradesh,1971,17632.57946097786,DIRECT,IND-000405,1.0
IND-000405,Ongole (Prakasam),Andhra Pradesh,1981,17632.579478257474,DIRECT,IND-000405,1.0
IND-000405,Ongole (Prakasam),Andhra Pradesh,1991,17632.636851098432,DIRECT,IND-000405,1.0
IND-000405,Ongole (Prakasam),Andhra Pradesh,2001,17632.636851098432,DIRECT,IND-000405,1.0
IND-000405,Ongole (Prakasam),Andhra Pradesh,2011,17651.06908238489,DIRECT,IND-000405,1.0
IND-000405,Ongole (Prakasam),Andhra Pradesh,2021,17626.79596710705,DIRECT,IND-000405,1.0
IND-000405,Ongole (Prakasam),Andhra Pradesh,2025,17615.74104324623,DIRECT,IND-000405,1.0
IND-000450,Srikakulam,Andhra Pradesh,1951,5727.805583,LINEAGE_BACKFILL,IND-000220,0.7
IND-000450,Srikakulam,Andhra Pradesh,1961,5727.805583,LINEAGE_BACKFILL,IND-000220,0.7
IND-000450,Srikakulam,Andhra Pradesh,1971,5654.072192,LINEAGE_BACKFILL,IND-000220,0.7
IND-000450,Srikakulam,Andhra Pradesh,1981,5654.295860117195,DIRECT,IND-000450,1.0
IND-000450,Srikakulam,Andhra Pradesh,1991,5802.804333492473,DIRECT,IND-000450,1.0
IND-000450,Srikakulam,Andhra Pradesh,2001,5802.804333492473,DIRECT,IND-000450,1.0
IND-000450,Srikakulam,Andhra Pradesh,2011,5634.156561276423,DIRECT,IND-000450,1.0
IND-000450,Srikakulam,Andhra Pradesh,2021,5866.033252863172,DIRECT,IND-000450,1.0
IND-000450,Srikakulam,Andhra Pradesh,2025,5838.900012369967,DIRECT,IND-000450,1.0
IND-000454,Visakhapatnam,Andhra Pradesh,1951,11551.471587,LINEAGE_BACKFILL,IND-000220|IND-000224,0.7
