event_id,event_type,effective_year,pre_vintage,post_vintage,predecessor,successor,predecessor_ck,successor_ck,transferred_area_km2,measurement_status,predecessor_match_method,successor_match_method
379398af593b773473adef875eb50114,RENAME,1971,1961.0,1981,Midnapore,Medinipur,IND-000305,IND-000305,,RESOLVED_NO_OVERLAP,STATE_SCOPED,STATE_SCOPED
c3689dfedabc86a9881a157fe43a91d4,NEW_DISTRICT,1972,1971.0,1981,Darbhanga,Madhubani,IND-000112,IND-000556,3502.2982,MEASURED,STATE_SCOPED,STATE_SCOPED
c3689dfedabc86a9881a157fe43a91d4,NEW_DISTRICT,1972,1971.0,1981,Darbhanga,Samastipur,IND-000112,IND-000554,2714.136,MEASURED,STATE_SCOPED,STATE_SCOPED
21ec31799f796fb05e93a291b4e67a10,NEW_DISTRICT,1972,1971.0,1981,Monghyr,Begusarai,,,,PARTIALLY_RESOLVED,,
395c20581ab010c5319336b17aa50a4b,NEW_DISTRICT,1972,1971.0,1981,Muzaffarpur,Sitamarhi,IND-000111,IND-000550,2623.0725,MEASURED,STATE_SCOPED,STATE_SCOPED
395c20581ab010c5319336b17aa50a4b,NEW_DISTRICT,1972,1971.0,1981,Muzaffarpur,Vaishali,IND-000111,IND-000552,2005.2015,MEASURED,STATE_SCOPED,STATE_SCOPED
c17600e34b2f69f884ef5a2c8d007fbd,NEW_DISTRICT,1972,1971.0,1981,Patna,Nalanda,IND-000106,IND-000539,2378.7194,MEASURED,STATE_SCOPED,STATE_SCOPED
47401bfa8beae69cb6c526a70eec41b9,NEW_DISTRICT,1972,1971.0,1981,Shahabad,Bhojpur,IND-000108,IND-000540,4094.8694,MEASURED,STATE_SCOPED,STATE_SCOPED
47401bfa8beae69cb6c526a70eec41b9,NEW_DISTRICT,1972,1971.0,1981,Shahabad,Rohtas,IND-000108,IND-000541,7225.0894,MEASURED,STATE_SCOPED,STATE_SCOPED
11578d5a51e9bbbc63d77b8c52ac6ff8,NEW_DISTRICT,1972,1971.0,1981,Hisar,Bhiwani,IND-000238,IND-000568,3485.2737,MEASURED,STATE_SCOPED,STATE_SCOPED
8e85f649eaf4a06dda3dcae6ffd93d95,NEW_DISTRICT,1972,1971.0,1981,Rohtak,Sonipat,IND-000239,IND-000564,1324.0971,MEASURED,STATE_SCOPED,STATE_SCOPED
131014fbd456bc792fd57fea6ea60497,NEW_DISTRICT,1972,1971.0,1981,Kangra,Hamirpur,IND-000432,IND-000573,1110.3971,MEASURED,STATE_SCOPED,STATE_SCOPED
131014fbd456bc792fd57fea6ea60497,NEW_DISTRICT,1972,1971.0,1981,Kangra,Una,IND-000432,IND-000574,944.7717,MEASURED,STATE_SCOPED,STATE_SCOPED
607f4652bfe0f8feb672c15b6ed88aff,NEW_DISTRICT,1972,1971.0,1981,Simla,Solan,IND-000434,IND-000434,1932.0714,MEASURED,STATE_SCOPED,STATE_SCOPED
f6d0dfa45f9b8c75c4de1aa18ef78a1e,NEW_DISTRICT,1972,1971.0,1981,Hazaribagh,Giridih,,,,PARTIALLY_RESOLVED,,
